"","dim","fid","BSqi","BSrr","CMA_CSA","fmincon","fminunc","HCMA","HMLSL","IPOP400D","MCS","MLSL","OQNLP","SMAC_BBOB"
"1",2,1,1.76666666666667,1.76666666666667,13.6666666666667,1.86666666666667,1.16666666666667,1,1.86666666666667,11.5333333333333,2.6,1.86666666666667,3.06666666666667,2.4
"2",2,2,1,1.25242718446602,17.2135922330097,1.95145631067961,4.47572815533981,9.23300970873786,1.95145631067961,22.3106796116505,3.15533980582524,1.95145631067961,2.47572815533981,36690.3225806452
"3",2,3,1,1.07196029776675,45.3672456575682,28.2084367245658,26.2009925558313,2.74193548387097,8.82630272952854,23.1451612903226,8.63523573200993,26.8808933002481,13.468982630273,36690.3225806452
"4",2,4,1,1.03643724696356,192.259109311741,19.3562753036437,24.3441295546559,4.10121457489879,56.7348178137652,29.8076923076923,13.7368421052632,42.919028340081,61.9635627530364,36690.3225806452
"5",2,5,1.31818181818182,1.31818181818182,5.54545454545454,3.86363636363636,2.95454545454545,1.45454545454545,3.86363636363636,5,1,3.86363636363636,4.09090909090909,1.18181818181818
"6",2,6,177.947805456703,275.083036773429,4.85409252669039,1,2.00355871886121,6,1,3.80782918149466,40.4555160142349,1,1.68683274021352,36690.3225806452
"7",2,7,36690.3225806452,36690.3225806452,1,70.9614973262032,72.0855614973262,1.16149732620321,3.03743315508021,1.93368983957219,2.26310160427807,93.2638146167556,1.78502673796791,3.47593582887701
"8",2,8,508.354978354978,389.761904761905,12.1601731601732,1.5974025974026,1.41125541125541,8.29004329004329,1.5974025974026,7.92640692640693,1,1.5974025974026,1.51515151515152,36690.3225806452
"9",2,9,36690.3225806452,1477.75757575758,11.4242424242424,1,1.26666666666667,7.75757575757576,1,9.16363636363636,1.32727272727273,1,1.13939393939394,36690.3225806452
"10",2,10,36690.3225806452,515.034965034965,12.6853146853147,1,3.64335664335664,6.76923076923077,1,16.2027972027972,381.321678321678,1,4.52447552447552,36690.3225806452
"11",2,11,295.036496350365,149.233576642336,12.7956204379562,1,2.70802919708029,7.58394160583942,1,19.5474452554745,621.313868613139,1,13.2262773722628,36690.3225806452
"12",2,12,153.629587155963,40.5772171253822,5.88532110091743,1,1.49082568807339,8.19724770642202,1,4.87385321100917,28.0596330275229,1,2.3256880733945,36690.3225806452
"13",2,13,1091.6028708134,36690.3225806452,6.58851674641148,1,304.090909090909,4.47368421052632,1,9.15311004784689,580.996810207337,1,2.97129186602871,36690.3225806452
"14",2,14,15.3451327433628,12.5132743362832,3.73451327433628,1,1.39823008849558,4.41592920353982,1,3.76991150442478,1.78761061946903,1,1.46902654867257,4.84955752212389
"15",2,15,41.6934705693149,36690.3225806452,2.45931167577999,1.12222579607591,4.96397555484079,1.5422965583789,2.42007076230299,2.26519781280154,2.33097458990029,4.13573496301061,1,36690.3225806452
"16",2,16,34.5066334991708,50.016583747927,4.21144278606965,24.3418325041459,34.4145936981758,1.72719734660033,11.1218905472637,1,5.79436152570481,17.1235489220564,18.2683803206191,36690.3225806452
"17",2,17,23.8330258302583,27.4433315761729,1.44122298365841,243.265682656827,43.7427517132314,2.07380073800738,8.13916710595677,1,3.94992092778071,245.991038481813,7.66947812335266,36690.3225806452
"18",2,18,36690.3225806452,36690.3225806452,1,36690.3225806452,36690.3225806452,3.26046350743687,17.6966447595988,2.89346246973366,19.4911795226565,36690.3225806452,36690.3225806452,36690.3225806452
"19",2,19,242.43125,93.55,64.20625,1,64.85625,118.1125,1,70.5625,6.75,1,38.6484375,12.625
"20",2,20,16.1155106499181,9.89787001638449,3.9590387766248,3.80447842708902,2.92517749863463,18.3276897870016,2.70289459311851,36690.3225806452,1,1.39377389404697,3.98525395958493,36690.3225806452
"21",2,21,24.4372171945701,37.8318250377073,22.8371040723982,1.87782805429864,1.52714932126697,10.0904977375566,1.45701357466063,4.52205882352941,27.3981900452489,1.03393665158371,1.62669683257919,1
"22",2,22,313.025477707006,414.254777070064,36.2509554140127,1.18471337579618,1.50445859872611,7.03949044585987,1.53503184713376,6.11783439490446,8.36305732484076,1.57070063694268,1.82420382165605,1
"23",2,23,62.1217887725975,36690.3225806452,6.08991436726927,1.79828734538535,62.7164605137964,5.65604186489058,1.60656517602284,5.43529971455756,14.5723120837298,1,4.8436013320647,36690.3225806452
"24",2,24,8.32744495647721,36690.3225806452,36690.3225806452,11.9810547875064,3.8863287250384,183.624167946749,12.0506912442396,36690.3225806452,5.60744154292542,5.54902713773682,1,36690.3225806452
"25",3,1,2.1,2.1,20.075,1.925,1.125,1,1.925,16.525,2.375,1.925,2.875,3.45
"26",3,2,1,1.20567375886525,20.9007092198582,2.63829787234043,6.36170212765957,6.95035460992908,2.63829787234043,28.0283687943262,5.76595744680851,2.63829787234043,3.1063829787234,36690.3225806452
"27",3,3,1.04360902255639,1,100.66015037594,183.943609022556,519.751879699248,5.05563909774436,11.5488721804511,36690.3225806452,76.7578947368421,159.81954887218,38.4436090225564,36690.3225806452
"28",3,4,1.14754098360656,1,36690.3225806452,233.132969034608,130.250455373406,1765.8674863388,13.683970856102,36690.3225806452,143.647540983607,110.49635701275,36690.3225806452,36690.3225806452
"29",3,5,1.39393939393939,1.39393939393939,7.42424242424242,4.39393939393939,3.18181818181818,1.60606060606061,4.39393939393939,7.75757575757576,1,4.39393939393939,3.03030303030303,1.21212121212121
"30",3,6,202.829968944099,579.813664596273,2.57608695652174,1,2.10714285714286,4.2111801242236,1.06211180124224,3.09316770186335,103.728649068323,1.06211180124224,2.32608695652174,36690.3225806452
"31",3,7,265.090273733256,282.288875946418,1,150.960978450786,36690.3225806452,1.03377984857309,4.46418171228888,1.47000582411182,5.64938846825859,36690.3225806452,5.34653465346535,36690.3225806452
"32",3,8,279.800498753117,557.063591022444,7.39401496259352,1,1.44887780548628,5.11221945137157,1,12.069825436409,13.8877805486284,1,1.40897755610973,36690.3225806452
"33",3,9,577.010385756677,36690.3225806452,7.95548961424332,1.06824925816024,1,7.47477744807122,1.06824925816024,9.49554896142433,2.35905044510386,1.06824925816024,1.05637982195846,36690.3225806452
"34",3,10,36690.3225806452,36690.3225806452,10.1380471380471,1,3.28956228956229,5.14814814814815,1,13.6767676767677,36690.3225806452,1,10.7205387205387,36690.3225806452
"35",3,11,36690.3225806452,36690.3225806452,18.0215053763441,1,13.2849462365591,7.45698924731183,1,23.510752688172,3669.03225806452,1,18.1612903225806,36690.3225806452
"36",3,12,36690.3225806452,46.8250444049734,6.79840142095915,1,1.37211367673179,4.12966252220249,1.01154529307282,10.6275902901125,2.21403197158082,1.01154529307282,13.9964476021314,36690.3225806452
"37",3,13,36690.3225806452,109.238476953908,5.57314629258517,1,1.28456913827655,3.30460921843687,1,7.67935871743487,292.45156980628,1,2.51102204408818,36690.3225806452
"38",3,14,20.1933701657459,23.6906077348066,4.13812154696133,1,1.11049723756906,4.83977900552486,1,6.07734806629834,9.40883977900553,1,1.35359116022099,5.88950276243094
"39",3,15,36690.3225806452,36690.3225806452,1.44502309128427,4.9629065539943,8.84666404637909,2.19475287412794,3.85292817136681,3.53050997346959,4.46644394222266,7.5171137532344,1,36690.3225806452
"40",3,16,57.8007146783946,36690.3225806452,1.88147333699835,111.062671797691,101.374106652006,2.09604178119846,25.5056074766354,1,19.2453958218801,98.788070368334,36690.3225806452,36690.3225806452
"41",3,17,46.8104719764012,40.1536381514258,1.75565388397247,36690.3225806452,36690.3225806452,3.4306784660767,11.3554572271386,1,18.9267453294002,36690.3225806452,48.1096361848574,36690.3225806452
"42",3,18,36690.3225806452,36690.3225806452,1,36690.3225806452,36690.3225806452,1.98854698495929,7.88326203946461,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"43",3,19,5.6792520247737,19.867079561696,1.67546450690805,9.27143878037161,6.42454740352549,3.44616484040019,8.39709385421629,1,1.61133873272987,13.0545497856122,1.11214864221058,36690.3225806452
"44",3,20,18.7922397567685,11.8130881714203,2.71289995656581,3.69963804835675,3.53267699435356,3.04664832778341,1,36690.3225806452,3.50079629361518,3.21326190820907,1.37642970899088,36690.3225806452
"45",3,21,136.084821428572,170.386607142857,3.43339285714286,1.78607142857143,1.59482142857143,2.18410714285714,1.68428571428572,2.77410714285715,5.02232142857143,1.25892857142857,1.32120535714286,1
"46",3,22,173.718320057929,230.811006517017,247.945932898866,1,1.34033309196235,77.3591600289645,1.67197682838523,36690.3225806452,1.58580738595221,3.05720492396814,1.20492396813903,1.8356263577118
"47",3,23,36690.3225806452,36690.3225806452,2.56369518332135,1.02854061826024,36690.3225806452,2.40488856937455,1,1.88461538461538,11.5755751258088,1.10345075485262,4.76096333572969,36690.3225806452
"48",3,24,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,249.051339285714,6.23260788690476,36690.3225806452,36690.3225806452,36690.3225806452,1,36690.3225806452
"49",5,1,2.35,2.35,21.1166666666667,2.18333333333333,1.08333333333333,1,2.18333333333333,20.7166666666667,2.63333333333333,2.18333333333333,2.51666666666667,3.3
"50",5,2,1,1.40756302521008,26.4705882352941,3.26890756302521,11.2394957983193,3.84033613445378,3.78991596638655,35.2142857142857,6.08823529411765,3.78991596638655,4.2436974789916,36690.3225806452
"51",5,3,1.06615598885794,1,923.802228412256,36690.3225806452,36690.3225806452,1.63927576601671,20.1190807799443,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"52",5,4,1.07239819004525,1,36690.3225806452,36690.3225806452,36690.3225806452,51.8243521184698,55.7877416700946,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"53",5,5,1.45833333333333,1.45833333333333,6.0625,5.72916666666667,3.22916666666667,1.625,5.72916666666667,6.85416666666667,1.04166666666667,5.72916666666667,2.5,1
"54",5,6,318.543489449305,36690.3225806452,1.93000514668039,1.16057642820381,2.97941327843541,2.27843540916109,1,2.05146680391148,44.812789500772,1,1.74009264024704,36690.3225806452
"55",5,7,36690.3225806452,36690.3225806452,1,36690.3225806452,36690.3225806452,1.27350427350427,5.93717948717949,1.48952991452991,67.375,36690.3225806452,36690.3225806452,36690.3225806452
"56",5,8,36690.3225806452,36690.3225806452,5.73316862260655,1.23965410747375,1,2.3656578134651,1.54972205064855,4.57875231624459,1.1964175416924,1.20321185917233,1.01667696108709,36690.3225806452
"57",5,9,36690.3225806452,36690.3225806452,13.8183161004431,1.13737075332349,1,9.67651403249631,1.13737075332349,11.5051698670606,1.94534711964549,1.13737075332349,1.08271787296898,36690.3225806452
"58",5,10,36690.3225806452,36690.3225806452,9.87459283387622,1,6.67915309446254,4.06677524429967,1.05211726384365,14.0407166123779,36690.3225806452,1.05211726384365,5.23941368078176,36690.3225806452
"59",5,11,36690.3225806452,36690.3225806452,17.5134228187919,1.04026845637584,49.0637583892617,7.49664429530201,1,30.0134228187919,36690.3225806452,1,38.2046979865772,36690.3225806452
"60",5,12,65.2489110143124,36690.3225806452,7.17299315494711,1.05102675793404,1,2.21157436216553,1.01431238332296,10.8877826177142,20.843808338519,1.01431238332296,3.66272557560672,36690.3225806452
"61",5,13,36690.3225806452,36690.3225806452,4.34423548650858,1,1.25020441537204,1.78822567457073,1.00245298446443,6.86345053147997,36690.3225806452,1.00245298446443,5.23385118560916,36690.3225806452
"62",5,14,27.8339350180505,40.1335740072202,5.67509025270758,1,1.53429602888087,5.48736462093863,1,6.23826714801444,4.02527075812274,1,1.3971119133574,36690.3225806452
"63",5,15,36690.3225806452,36690.3225806452,1.16082336311777,36690.3225806452,36690.3225806452,1,4.66375763541824,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"64",5,16,36690.3225806452,36690.3225806452,1,36690.3225806452,36690.3225806452,2.37923973537751,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"65",5,17,36690.3225806452,36690.3225806452,3.66989563821247,36690.3225806452,36690.3225806452,2.23216483810543,14.6282044420658,1,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"66",5,18,36690.3225806452,36690.3225806452,1.15396608848178,36690.3225806452,36690.3225806452,1,9.29247466380822,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"67",5,19,36690.3225806452,36690.3225806452,8.27097113285356,36690.3225806452,36690.3225806452,14.8625050537721,11.8096951564648,36690.3225806452,36690.3225806452,36690.3225806452,1,36690.3225806452
"68",5,20,36690.3225806452,36690.3225806452,3.21691735403526,36690.3225806452,36690.3225806452,6.80771470160116,1,36690.3225806452,2.27017628982694,36690.3225806452,1.21842147824681,36690.3225806452
"69",5,21,16.4645864824012,10.8847980997625,14.1934787302958,1.15007557762902,2.54307924854243,24.3960267760743,1,5.90369250701792,6.86827898941913,2.77974519542215,1.04351112070827,1.96717771539624
"70",5,22,180.619811842833,172.120918649696,285.600442722745,1,1.18400664084117,5.150249031544,1.76701715550636,10.0359712230216,15.1034864416159,1.26701715550636,1.09055063641395,1.77227448810183
"71",5,23,36690.3225806452,36690.3225806452,6.43501835168502,11.5529592092092,36690.3225806452,1,5.05289143309977,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
