"","dim","fid","BSqi.1","BSrr.1","CMA-CSA.1","fmincon.1","fminunc.1","HCMA.1","HMLSL.1","IPOP400D.1","MCS.1","MLSL.1","OQNLP.1","SMAC-BBOB.1"
"56",5,8,36690.3225806452,36690.3225806452,6.50525015441631,2.01173563928351,1.77208153180976,3.13773934527486,2.32180358245831,5.35083384805435,1.96849907350216,1.97529339098209,1.78875849289685,36690.3225806452
"57",5,9,36690.3225806452,36690.3225806452,15.6646971935007,2.98375184638109,2.84638109305761,11.5228951255539,2.98375184638109,13.3515509601182,3.7917282127031,2.98375184638109,2.92909896602659,36690.3225806452
"58",5,10,36690.3225806452,36690.3225806452,11.9104234527687,3.03583061889251,8.71498371335505,6.10260586319218,3.08794788273616,16.0765472312704,36690.3225806452,3.08794788273616,7.27524429967427,36690.3225806452
"59",5,11,36690.3225806452,36690.3225806452,21.7080536912752,5.23489932885906,53.258389261745,11.6912751677852,5.19463087248322,34.2080536912752,36690.3225806452,5.19463087248322,42.3993288590604,36690.3225806452
"60",5,12,66.0267579340386,36690.3225806452,7.9508400746733,1.82887367766024,1.7778469197262,2.98942128189172,1.79215930304916,11.6656295374404,21.6216552582452,1.79215930304916,4.44057249533292,36690.3225806452
"61",5,13,36690.3225806452,36690.3225806452,5.36631234668847,2.02207686017989,2.27228127555192,2.81030253475061,2.02452984464432,7.88552739165985,36690.3225806452,2.02452984464432,6.25592804578904,36690.3225806452
"62",5,14,32.3465703971119,44.6462093862816,10.187725631769,5.51263537906137,6.04693140794224,10,5.51263537906137,10.7509025270758,8.53790613718412,5.51263537906137,5.90974729241877,36690.3225806452
"63",5,15,36690.3225806452,36690.3225806452,1.17659902064718,36690.3225806452,36690.3225806452,1.01577565752941,4.67953329294765,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"64",5,16,36690.3225806452,36690.3225806452,1.06563057859918,36690.3225806452,36690.3225806452,2.44487031397669,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"65",5,17,36690.3225806452,36690.3225806452,3.93748996521274,36690.3225806452,36690.3225806452,2.4997591651057,14.8957987690661,1.26759432700027,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"66",5,18,36690.3225806452,36690.3225806452,1.21487039563438,36690.3225806452,36690.3225806452,1.0609043071526,9.35337897096083,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"67",5,19,36690.3225806452,36690.3225806452,8.30129376566669,36690.3225806452,36690.3225806452,14.8928276865853,11.8400177892779,36690.3225806452,36690.3225806452,36690.3225806452,1.03032263281313,36690.3225806452
